feature,road_class,collision_stratum,n_links,n_non_null,non_null_share_per_link,non_null_share_per_link_year,n_link_years
pop_density_per_km2,Unclassified,one_or_more_collisions_2015_2024,86433,84613,0.9789432277023822,0.9789432277023822,864330
pop_density_per_km2,Unclassified,zero_collisions_2015_2024,973581,890259,0.914416982254173,0.914416982254173,9735810
pop_density_per_km2,Unknown,one_or_more_collisions_2015_2024,8307,7896,0.9505236547490069,0.9505236547490069,83070
pop_density_per_km2,Unknown,zero_collisions_2015_2024,434529,314699,0.7242301434426701,0.7242301434426701,4345290
ruc_class,A Road,one_or_more_collisions_2015_2024,67763,61228,0.9035609403361716,0.9035609403361716,677630
ruc_class,A Road,zero_collisions_2015_2024,87775,72460,0.8255197949302193,0.8255197949302193,877750
ruc_class,B Road,one_or_more_collisions_2015_2024,27796,24525,0.8823211972945748,0.8823211972945748,277960
ruc_class,B Road,zero_collisions_2015_2024,61490,47346,0.7699788583509514,0.7699788583509514,614900
ruc_class,Classified Unnumbered,one_or_more_collisions_2015_2024,36775,31403,0.8539225016995241,0.8539225016995241,367750
ruc_class,Classified Unnumbered,zero_collisions_2015_2024,154146,101870,0.6608669702749341,0.6608669702749341,1541460
ruc_class,Motorway,one_or_more_collisions_2015_2024,2279,2046,0.8977621763931549,0.8977621763931549,22790
ruc_class,Motorway,zero_collisions_2015_2024,1805,1465,0.8116343490304709,0.8116343490304709,18050
ruc_class,Not Classified,one_or_more_collisions_2015_2024,4251,4030,0.9480122324159022,0.9480122324159022,42510
ruc_class,Not Classified,zero_collisions_2015_2024,220627,188025,0.8522302347400816,0.8522302347400816,2206270
ruc_class,Unclassified,one_or_more_collisions_2015_2024,86433,84613,0.9789432277023822,0.9789432277023822,864330
ruc_class,Unclassified,zero_collisions_2015_2024,973581,890259,0.914416982254173,0.914416982254173,9735810
ruc_class,Unknown,one_or_more_collisions_2015_2024,8307,7896,0.9505236547490069,0.9505236547490069,83070
ruc_class,Unknown,zero_collisions_2015_2024,434529,314699,0.7242301434426701,0.7242301434426701,4345290
ruc_urban_rural,A Road,one_or_more_collisions_2015_2024,67763,61228,0.9035609403361716,0.9035609403361716,677630
ruc_urban_rural,A Road,zero_collisions_2015_2024,87775,72460,0.8255197949302193,0.8255197949302193,877750
ruc_urban_rural,B Road,one_or_more_collisions_2015_2024,27796,24525,0.8823211972945748,0.8823211972945748,277960
ruc_urban_rural,B Road,zero_collisions_2015_2024,61490,47346,0.7699788583509514,0.7699788583509514,614900
ruc_urban_rural,Classified Unnumbered,one_or_more_collisions_2015_2024,36775,31403,0.8539225016995241,0.8539225016995241,367750
ruc_urban_rural,Classified Unnumbered,zero_collisions_2015_2024,154146,101870,0.6608669702749341,0.6608669702749341,1541460
ruc_urban_rural,Motorway,one_or_more_collisions_2015_2024,2279,2046,0.8977621763931549,0.8977621763931549,22790
ruc_urban_rural,Motorway,zero_collisions_2015_2024,1805,1465,0.8116343490304709,0.8116343490304709,18050
ruc_urban_rural,Not Classified,one_or_more_collisions_2015_2024,4251,4030,0.9480122324159022,0.9480122324159022,42510
ruc_urban_rural,Not Classified,zero_collisions_2015_2024,220627,188025,0.8522302347400816,0.8522302347400816,2206270
ruc_urban_rural,Unclassified,one_or_more_collisions_2015_2024,86433,84613,0.9789432277023822,0.9789432277023822,864330
ruc_urban_rural,Unclassified,zero_collisions_2015_2024,973581,890259,0.914416982254173,0.914416982254173,9735810
ruc_urban_rural,Unknown,one_or_more_collisions_2015_2024,8307,7896,0.9505236547490069,0.9505236547490069,83070
ruc_urban_rural,Unknown,zero_collisions_2015_2024,434529,314699,0.7242301434426701,0.7242301434426701,4345290
imd_decile,A Road,one_or_more_collisions_2015_2024,67763,61223,0.9034871537564748,0.9034871537564748,677630
imd_decile,A Road,zero_collisions_2015_2024,87775,66719,0.7601139276559384,0.7601139276559384,877750
imd_decile,B Road,one_or_more_collisions_2015_2024,27796,24522,0.882213268096129,0.882213268096129,277960
imd_decile,B Road,zero_collisions_2015_2024,61490,43796,0.7122458936412425,0.7122458936412425,614900
imd_decile,Classified Unnumbered,one_or_more_collisions_2015_2024,36775,31399,0.8538137321549966,0.8538137321549966,367750
imd_decile,Classified Unnumbered,zero_collisions_2015_2024,154146,95423,0.6190429852218027,0.6190429852218027,1541460
imd_decile,Motorway,one_or_more_collisions_2015_2024,2279,2046,0.8977621763931549,0.8977621763931549,22790
imd_decile,Motorway,zero_collisions_2015_2024,1805,1465,0.8116343490304709,0.8116343490304709,18050
