row_type,site_id,latitude,longitude,snapped_link_id,snap_distance_m,snapped_road_classification,used_by_timezone_profile,used_by_temporal_raw_profiles,stage2_seed42_test_link,webtris_hgv_records,webtris_n_months,webtris_road_type,webtris_hgv_pct,aadf_hgv_proportion,road_classification,collision_count,aadf_hgv_pct,hgv_pct_abs_diff,hgv_pct_signed_diff,n_sites_in_snap_map,n_sites_with_webtris_hgv,n_sites_with_aadf_hgv,n_sites_compared,pearson_r,pearson_p,spearman_r,spearman_p,median_abs_diff_pct_points,mean_signed_diff_pct_points,risk_scores_aadf_hgv_missing_share_all_links
summary,,,,,,,,,,,,,,,,,,,,6003.0,6003.0,2725.0,2725.0,0.32534081516112573,3.297260670969912e-68,0.2934190684153702,3.034998735255073e-55,6.763077097501192,-7.941750126744743,0.9033040422927747
site,1443,53.4970217011714,-1.47640710741151,A18811C5-146C-47B0-BD32-B96AD5ECF0BA,49.61813437795027,A Road,1.0,1.0,0.0,95.0,12.0,Motorway,11.323157894736843,,A Road,0.0,,,,,,,,,,,,,,
site,1444,53.9361131659354,-1.37529174647302,30C44AA2-64DD-4D2A-BDDC-C79E79DF15B8,89.7681248858874,A Road,1.0,1.0,0.0,96.0,12.0,A-road,23.336458333333336,0.18388209470053307,A Road,2.0,18.388209470053308,4.948248863280028,-4.948248863280028,,,,,,,,,,,
site,1447,52.5092203305904,-1.79819801626873,89179D7A-9D80-4D69-AF3A-323FB66CFC3D,107.51729122947953,A Road,1.0,1.0,0.0,25.0,12.0,Motorway,18.076,0.042071447923520536,A Road,3.0,4.207144792352054,13.868855207647947,-13.868855207647947,,,,,,,,,,,
site,145,53.6009473966222,-1.55004775990399,F96940CD-3F84-4A50-81F0-9C2674D7E025,3.6435877322042014,Motorway,1.0,1.0,0.0,90.0,12.0,Motorway,4.727777777777778,0.11687380497131931,Motorway,11.0,11.687380497131931,6.959602719354153,6.959602719354153,,,,,,,,,,,
site,1454,53.5809524933566,-1.53690772730732,86FC12F8-C298-4CB3-9074-C5386F32EBB8,79.62329790919298,Unclassified,1.0,1.0,0.0,54.0,12.0,Motorway,14.974074074074075,,Unclassified,0.0,,,,,,,,,,,,,,
site,1455,53.3983532856405,-2.22869159086962,7E4E6E48-BDCC-40BF-9EAA-33D3F879E15E,18.847847809566453,Motorway,1.0,1.0,0.0,36.0,12.0,Motorway,4.555555555555555,0.012853121714653915,Motorway,1.0,1.2853121714653915,3.270243384090164,-3.270243384090164,,,,,,,,,,,
site,1456,52.0970977372073,1.11422697304628,F5F29165-E428-4CA0-9B69-4BEE3F5F7A52,53.10198330951901,Unclassified,1.0,1.0,0.0,17.0,12.0,A-road,16.705882352941178,,Unclassified,0.0,,,,,,,,,,,,,,
site,1457,52.5702178409803,-2.01088435884006,E6F833EC-6703-4380-A45E-D2F39266B7AD,122.2427052036178,Unclassified,1.0,1.0,1.0,31.0,12.0,Motorway,16.241935483870968,,Unclassified,0.0,,,,,,,,,,,,,,
site,14580,52.3301709252861,-2.08464963395811,5FAF6598-2733-45E0-BEBD-54B5AF6E88AB,171.07949497708634,Unknown,1.0,1.0,0.0,36.0,12.0,Motorway,16.083333333333332,,Unknown,0.0,,,,,,,,,,,,,,
site,14581,54.4443610119184,-1.66832415259946,CAF1C861-1A59-455C-AB3D-5836857262B6,26.729403248428778,Motorway,1.0,1.0,0.0,31.0,12.0,A-road,18.906451612903222,,Motorway,0.0,,,,,,,,,,,,,,
