poisson_z_sim,nb_z_sim
1961104,1964242
1961226,1963952
1961184,1964063
1961258,1964105
1961041,1964202
1961060,1964219
1961011,1964058
1960979,1963966
1961233,1964371
1961188,1963946
1960956,1964139
1961256,1964163
1961155,1964414
1960923,1963967
1961128,1963838
1961066,1964327
1961183,1964635
1961048,1964189
1961042,1964081
1960933,1964197
1961156,1964053
1961309,1964142
1960939,1963718
1961098,1964132
1961460,1964343
1961187,1964057
1961187,1964320
1961013,1964457
1961167,1964185
1961242,1963960
1961312,1964101
1961314,1964205
1961319,1964362
1961334,1964410
1960955,1964198
1961181,1964204
1961032,1964238
1961049,1964041
1961105,1964125
1960949,1964421
1961170,1964247
1960968,1964043
1961547,1964289
1961203,1964143
1961149,1964046
1961357,1964123
1961303,1964199
1961045,1964225
1961388,1964341
1961249,1964377
1961315,1964072
1960963,1964241
1961277,1964322
1961100,1964159
1961336,1964569
1961068,1963959
1961391,1964232
1961381,1964064
1961392,1964272
1960995,1964140
1961370,1964286
1961162,1964262
1961130,1964236
1961232,1964304
1960981,1964241
1961177,1964403
1961175,1964343
1961256,1963933
1961073,1964112
1961002,1964106
1960839,1964249
1961125,1963818
1961329,1964308
1961128,1964181
1961469,1964376
1961009,1964010
1961033,1964076
1961330,1964202
1960948,1964008
1961176,1963994
1961083,1964148
1961122,1963976
1961032,1964383
1961346,1964098
1961289,1963866
1961223,1963997
1961228,1963863
1961559,1964261
1961301,1963878
1961212,1964281
1961065,1964201
1960968,1964496
1961004,1964017
1961137,1964154
1961486,1963992
1961139,1964079
1960897,1964098
1961171,1964115
1961238,1964074
1960992,1964243
1961054,1964104
1960809,1963931
1961031,1964339
1961295,1964280
1961315,1964127
1961187,1963884
1961041,1964231
1960987,1964014
1961361,1964217
1960756,1964174
1961429,1964235
1960574,1964371
1961121,1964139
1961219,1964068
1961013,1963953
1961157,1964190
1961289,1964568
1961023,1963996
1960889,1964024
1961161,1964480
1961197,1964099
1960826,1964163
1960994,1964009
1961157,1964044
1961016,1964496
1961261,1964258
1961468,1964354
1961244,1964012
1960848,1964385
1961535,1964305
1960928,1964240
1960976,1963954
1961260,1964234
1961000,1963872
1961016,1964429
1961221,1964049
1960994,1963870
1961285,1963778
1961043,1963842
1961187,1964076
1961278,1964232
1961035,1964197
1961177,1964129
1961237,1964026
1961059,1964269
1961149,1963947
1961071,1963903
1961042,1964177
1960975,1964161
1961153,1964206
1961306,1964266
1961185,1964244
1961048,1963993
1961191,1964043
1960944,1964096
1961195,1964283
1961326,1964077
1961390,1964157
1961371,1963893
1960967,1964801
1961271,1964157
1960769,1964170
1961197,1964139
1961218,1964269
1960703,1964150
1961239,1964428
1961195,1963939
1961186,1964370
1961208,1964503
1961417,1964383
1961302,1964324
1961223,1964207
1961128,1964257
1961242,1964293
1961219,1964318
1961272,1964447
1961214,1964021
1960837,1964490
1961166,1964295
1961115,1964123
1961297,1964474
1961305,1964122
1961044,1964070
1961424,1963954
1960869,1964168
1961250,1964153
1961391,1964161
1961293,1964160
1961528,1964320
1961035,1963960
1961079,1963653
1961114,1964138
1961266,1963979
1961497,1964224
1961300,1963987
1961252,1964306
1961007,1964200
1961434,1964287
1960794,1964075
1961127,1964155
1961032,1964173
1961314,1964045
1961154,1964108
1961043,1964196
1961186,1964399
1961196,1963819
1961346,1964305
1961280,1964030
1961450,1964174
1961306,1964260
1961361,1963933
1961241,1964129
1961389,1964244
1961289,1964156
1961009,1964289
1961033,1964253
1961145,1964036
1960805,1964136
1961039,1964323
1960981,1964171
1960965,1964075
1961170,1964393
1961372,1964310
1961303,1963974
1960919,1964184
1961193,1964101
1961046,1964183
1961116,1964382
1960871,1964384
1961182,1964267
1961463,1964177
1961213,1964191
1960942,1964365
1961705,1963963
1961223,1964057
1961224,1964318
1961168,1964415
1961194,1964414
1961109,1964248
1961085,1964108
1961084,1964245
1961230,1964346
1960952,1964225
1961186,1964219
1961192,1964104
1961190,1963919
1960932,1964422
1961248,1964216
1961155,1964050
1961093,1964513
1961379,1964221
1961390,1964252
1960940,1963966
1961080,1963926
1961327,1964290
1961449,1964468
1961196,1963776
1960907,1964265
1961653,1964307
1961089,1964225
1961276,1964039
1961049,1964180
1961602,1964320
1961199,1964227
1961054,1964297
1961508,1964203
1960863,1964467
1961387,1964060
1961460,1964405
1961064,1964089
1960949,1964191
1960812,1964181
1961054,1964213
1961002,1964343
1960984,1964087
1961477,1964063
1961089,1964170
1960837,1964235
1961244,1964045
1961273,1964069
1960973,1964199
1961274,1964235
1960913,1964192
1961233,1964017
1961385,1964284
1961126,1964042
1961193,1964027
1960864,1964391
1961147,1964159
1961517,1964484
1961142,1964315
1961026,1964114
1961391,1964234
1961276,1963923
1961283,1963985
1961232,1964397
1960979,1964016
1960768,1963948
1960848,1963943
1961190,1964060
1961374,1964099
1961131,1964073
1961119,1964130
1961086,1964002
1961099,1964360
1960810,1964268
1961097,1964259
1961091,1964330
1961146,1964307
1961109,1964338
1961133,1964080
1961193,1963941
1961207,1964045
1961058,1964110
1961339,1964093
1961293,1964178
1961125,1963907
1961196,1964075
1961102,1964261
1961127,1964351
1961052,1964609
1961231,1964783
1961328,1964295
1961058,1964029
1960872,1964001
1961048,1964295
1960827,1964278
1961230,1964016
1961276,1964095
1961271,1964123
1961193,1964230
1961145,1964463
1961040,1964258
1961085,1964179
1961352,1964299
1961039,1964339
1960942,1964217
1960988,1964335
1961140,1964244
1961477,1964143
1960999,1964332
1961304,1964007
1961482,1964308
1961449,1963929
1961064,1964129
1961348,1964355
1961115,1964223
1961091,1964199
1961353,1964335
1961270,1964054
1961159,1964420
1960852,1964157
1961010,1964176
1961311,1964157
1961040,1964226
1961121,1964195
1961218,1964100
1961211,1964038
1960870,1964232
1961221,1964077
1961273,1964265
1960835,1964383
1961142,1964274
1961280,1963863
1961306,1964391
